,hospital_code,hospital_name,date_month,triage_cat,emergency_attendances,median_waiting_min,color_code,number_within_time,percent_within_time,number_not_wait,percent_not_wait,number_inbed,percent_inbed,empty,number_inbed_within_4,percent_inbed_within_4
19,15,Ipswich Hospital,2022-12-01,5,115,29.0,2,99,93.0,8,7.0,7,6.0,-,3,43.0
20,16,Redcliffe Hospital,2022-12-01,1,10,0.0,1,10,100.0,0,0.0,8,80.0,-,2,25.0
21,16,Redcliffe Hospital,2022-12-01,2,395,7.0,1,291,74.0,1,0.0,155,39.0,-,52,34.0
22,16,Redcliffe Hospital,2022-12-01,3,1238,30.0,2,586,51.0,83,7.0,161,13.0,-,26,16.0
23,16,Redcliffe Hospital,2022-12-01,4,963,45.0,3,531,63.0,114,12.0,35,4.0,-,10,29.0
24,16,Redcliffe Hospital,2022-12-01,5,133,36.0,3,97,86.0,17,13.0,3,2.0,-,2,67.0
25,22,Queen Elizabeth II Jubilee Hospital,2022-12-01,1,5,1.0,0,5,100.0,0,0.0,1,20.0,-,1,100.0
26,22,Queen Elizabeth II Jubilee Hospital,2022-12-01,2,146,7.0,1,107,74.0,0,0.0,4,3.0,-,4,100.0
27,22,Queen Elizabeth II Jubilee Hospital,2022-12-01,3,474,28.0,2,232,52.0,24,5.0,8,2.0,-,3,38.0
28,22,Queen Elizabeth II Jubilee Hospital,2022-12-01,4,286,34.5,3,188,70.0,15,5.0,1,0.0,-,1,100.0
29,22,Queen Elizabeth II Jubilee Hospital,2022-12-01,5,7,83.0,0,4,67.0,1,14.0,0,0.0,-,0,
30,28,Redland Hospital,2022-12-01,1,7,0.0,0,7,100.0,0,0.0,4,57.0,-,3,75.0
31,28,Redland Hospital,2022-12-01,2,614,10.0,1,335,55.0,1,0.0,232,38.0,-,149,64.0
32,28,Redland Hospital,2022-12-01,3,1606,14.0,1,1193,76.0,40,2.0,203,13.0,-,106,52.0
33,28,Redland Hospital,2022-12-01,4,904,12.0,1,796,90.0,14,2.0,21,2.0,-,6,29.0
34,28,Redland Hospital,2022-12-01,5,58,12.0,1,50,94.0,3,5.0,0,0.0,-,0,
35,29,Logan Hospital,2022-12-01,1,14,0.0,1,14,100.0,0,0.0,8,57.0,-,6,75.0
36,29,Logan Hospital,2022-12-01,2,1407,10.0,1,792,56.0,1,0.0,765,54.0,-,476,62.0
37,29,Logan Hospital,2022-12-01,3,3225,16.0,1,2419,76.0,40,1.0,1048,33.0,-,635,61.0
38,29,Logan Hospital,2022-12-01,4,1637,15.0,1,1444,90.0,32,2.0,154,9.0,-,92,60.0
39,29,Logan Hospital,2022-12-01,5,169,18.0,1,157,97.0,6,4.0,10,6.0,-,9,90.0
40,30,Caboolture Hospital,2022-12-01,1,10,0.0,1,10,100.0,0,0.0,6,60.0,-,2,33.0
41,30,Caboolture Hospital,2022-12-01,2,436,5.0,1,375,86.0,1,0.0,158,36.0,-,47,30.0
42,30,Caboolture Hospital,2022-12-01,3,1779,22.0,1,1122,64.0,36,2.0,203,11.0,-,31,15.0
43,30,Caboolture Hospital,2022-12-01,4,793,21.0,1,649,87.0,27,3.0,28,4.0,-,11,39.0
44,30,Caboolture Hospital,2022-12-01,5,33,24.5,2,23,88.0,0,0.0,0,0.0,-,0,
45,32,Sunshine Coast University Hospital,2022-12-01,1,21,0.0,1,21,100.0,0,0.0,17,81.0,-,10,59.0
46,32,Sunshine Coast University Hospital,2022-12-01,2,747,9.0,1,483,65.0,0,0.0,442,59.0,-,245,55.0
47,32,Sunshine Coast University Hospital,2022-12-01,3,2596,18.0,1,1814,71.0,24,1.0,942,36.0,-,489,52.0
48,32,Sunshine Coast University Hospital,2022-12-01,4,1429,23.0,2,1156,84.0,45,3.0,197,14.0,-,109,55.0
49,32,Sunshine Coast University Hospital,2022-12-01,5,103,22.0,1,92,96.0,6,6.0,6,6.0,-,3,50.0
50,41,Beaudesert Hospital,2022-12-01,1,3,1.0,0,3,100.0,0,0.0,0,0.0,-,0,
51,41,Beaudesert Hospital,2022-12-01,2,113,9.0,1,71,63.0,0,0.0,4,4.0,-,1,25.0
52,41,Beaudesert Hospital,2022-12-01,3,281,11.0,1,251,91.0,3,1.0,0,0.0,-,0,
53,41,Beaudesert Hospital,2022-12-01,4,472,8.0,1,437,98.0,27,6.0,0,0.0,-,0,
54,41,Beaudesert Hospital,2022-12-01,5,84,7.0,1,76,100.0,6,7.0,0,0.0,-,0,
55,42,Boonah Hospital,2022-12-01,1,2,0.0,0,2,100.0,0,0.0,0,0.0,-,0,
56,42,Boonah Hospital,2022-12-01,2,7,0.0,0,7,100.0,0,0.0,0,0.0,-,0,
57,42,Boonah Hospital,2022-12-01,3,64,0.0,1,63,98.0,0,0.0,1,2.0,-,1,100.0
58,42,Boonah Hospital,2022-12-01,4,86,0.0,1,85,100.0,0,0.0,1,1.0,-,1,100.0
59,42,Boonah Hospital,2022-12-01,5,21,0.0,1,15,100.0,2,10.0,0,0.0,-,0,
60,43,Caloundra Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
61,43,Caloundra Hospital,2022-12-01,2,32,7.5,1,24,75.0,0,0.0,0,0.0,-,0,
62,43,Caloundra Hospital,2022-12-01,3,146,19.0,1,117,80.0,0,0.0,0,0.0,-,0,
63,43,Caloundra Hospital,2022-12-01,4,1208,50.0,3,640,59.0,45,4.0,0,0.0,-,0,
64,43,Caloundra Hospital,2022-12-01,5,259,51.0,3,190,89.0,18,7.0,0,0.0,-,0,
65,44,Esk Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
66,44,Esk Hospital,2022-12-01,2,11,0.0,1,11,100.0,0,0.0,0,0.0,-,0,
67,44,Esk Hospital,2022-12-01,3,36,0.0,1,33,92.0,0,0.0,0,0.0,-,0,
68,44,Esk Hospital,2022-12-01,4,62,1.0,1,59,98.0,2,3.0,0,0.0,-,0,
69,44,Esk Hospital,2022-12-01,5,22,0.0,1,21,100.0,1,5.0,0,0.0,-,0,
70,45,Gatton Hospital,2022-12-01,1,1,1.0,0,1,100.0,0,0.0,0,0.0,-,0,
71,45,Gatton Hospital,2022-12-01,2,21,4.0,1,18,86.0,0,0.0,0,0.0,-,0,
72,45,Gatton Hospital,2022-12-01,3,205,5.0,1,179,88.0,2,1.0,1,0.0,-,1,100.0
73,45,Gatton Hospital,2022-12-01,4,243,12.0,1,202,89.0,11,5.0,0,0.0,-,0,
74,45,Gatton Hospital,2022-12-01,5,65,10.0,1,51,100.0,2,3.0,0,0.0,-,0,
75,46,Kilcoy Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
76,46,Kilcoy Hospital,2022-12-01,2,9,0.0,0,7,78.0,0,0.0,1,11.0,-,1,100.0
77,46,Kilcoy Hospital,2022-12-01,3,49,0.0,1,44,90.0,0,0.0,5,10.0,-,4,80.0
78,46,Kilcoy Hospital,2022-12-01,4,79,0.0,1,74,96.0,2,3.0,0,0.0,-,0,
79,46,Kilcoy Hospital,2022-12-01,5,29,8.5,1,27,96.0,0,0.0,0,0.0,-,0,
80,47,Laidley Hospital,2022-12-01,1,1,1.0,0,1,100.0,0,0.0,0,0.0,-,0,
81,47,Laidley Hospital,2022-12-01,2,30,0.0,1,24,80.0,0,0.0,0,0.0,-,0,
82,47,Laidley Hospital,2022-12-01,3,129,0.0,1,122,95.0,1,1.0,1,1.0,-,1,100.0
83,47,Laidley Hospital,2022-12-01,4,147,0.0,1,135,97.0,6,4.0,1,1.0,-,1,100.0
84,47,Laidley Hospital,2022-12-01,5,56,0.0,1,42,98.0,7,13.0,0,0.0,-,0,
85,48,Maleny Hospital,2022-12-01,1,2,0.0,0,2,100.0,0,0.0,0,0.0,-,0,
86,48,Maleny Hospital,2022-12-01,2,8,0.0,0,8,100.0,0,0.0,0,0.0,-,0,
87,48,Maleny Hospital,2022-12-01,3,69,4.0,1,55,81.0,1,1.0,0,0.0,-,0,
88,48,Maleny Hospital,2022-12-01,4,91,9.0,1,88,99.0,0,0.0,0,0.0,-,0,
89,48,Maleny Hospital,2022-12-01,5,33,12.0,1,30,97.0,1,3.0,0,0.0,-,0,
90,49,Nambour Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,0,0.0
91,49,Nambour Hospital,2022-12-01,2,102,6.0,1,87,86.0,1,1.0,47,46.0,-,42,89.0
92,49,Nambour Hospital,2022-12-01,3,611,13.0,1,522,86.0,3,0.0,122,20.0,-,104,85.0
93,49,Nambour Hospital,2022-12-01,4,514,12.5,1,483,95.0,5,1.0,10,2.0,-,8,80.0
94,49,Nambour Hospital,2022-12-01,5,15,9.5,1,14,100.0,0,0.0,0,0.0,-,0,
95,61,Biggenden Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
96,61,Biggenden Hospital,2022-12-01,2,0,,0,0,,0,,0,,-,0,
97,61,Biggenden Hospital,2022-12-01,3,9,0.0,0,9,100.0,0,0.0,0,0.0,-,0,
98,61,Biggenden Hospital,2022-12-01,4,39,0.0,1,38,100.0,1,3.0,2,5.0,-,2,100.0
99,61,Biggenden Hospital,2022-12-01,5,9,0.0,0,9,100.0,0,0.0,0,0.0,-,0,
100,62,Bundaberg Hospital,2022-12-01,1,5,0.0,0,5,100.0,0,0.0,2,40.0,-,1,50.0
101,62,Bundaberg Hospital,2022-12-01,2,216,15.0,1,76,35.0,1,0.0,105,49.0,-,49,47.0
102,62,Bundaberg Hospital,2022-12-01,3,1135,35.0,3,493,46.0,68,6.0,199,18.0,-,57,29.0
103,62,Bundaberg Hospital,2022-12-01,4,705,51.0,3,351,56.0,75,11.0,38,5.0,-,7,18.0
104,62,Bundaberg Hospital,2022-12-01,5,29,55.0,3,19,83.0,5,17.0,0,0.0,-,0,
105,63,Cherbourg Hospital,2022-12-01,1,1,1.0,0,1,100.0,0,0.0,1,100.0,-,0,0.0
106,63,Cherbourg Hospital,2022-12-01,2,11,3.0,1,10,91.0,0,0.0,3,27.0,-,3,100.0
107,63,Cherbourg Hospital,2022-12-01,3,49,7.0,1,41,87.0,2,4.0,5,10.0,-,5,100.0
108,63,Cherbourg Hospital,2022-12-01,4,196,10.0,1,165,92.0,16,8.0,4,2.0,-,3,75.0
109,63,Cherbourg Hospital,2022-12-01,5,136,15.0,1,106,99.0,20,15.0,0,0.0,-,0,
110,64,Childers Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
111,64,Childers Hospital,2022-12-01,2,5,0.0,0,5,100.0,0,0.0,2,40.0,-,2,100.0
112,64,Childers Hospital,2022-12-01,3,26,0.0,1,24,92.0,0,0.0,1,4.0,-,1,100.0
113,64,Childers Hospital,2022-12-01,4,59,0.0,1,56,98.0,2,3.0,0,0.0,-,0,
114,64,Childers Hospital,2022-12-01,5,34,0.0,1,31,100.0,3,9.0,0,0.0,-,0,
115,65,Eidsvold Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
116,65,Eidsvold Hospital,2022-12-01,2,0,,0,0,,0,,0,,-,0,
117,65,Eidsvold Hospital,2022-12-01,3,7,0.0,0,7,100.0,0,0.0,1,14.0,-,1,100.0
118,65,Eidsvold Hospital,2022-12-01,4,14,0.0,1,14,100.0,0,0.0,0,0.0,-,0,
119,65,Eidsvold Hospital,2022-12-01,5,11,2.0,1,11,100.0,0,0.0,0,0.0,-,0,
120,66,Gayndah Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
121,66,Gayndah Hospital,2022-12-01,2,3,0.0,0,3,100.0,0,0.0,1,33.0,-,1,100.0
122,66,Gayndah Hospital,2022-12-01,3,12,0.0,1,12,100.0,0,0.0,1,8.0,-,1,100.0
123,66,Gayndah Hospital,2022-12-01,4,32,0.0,1,32,100.0,0,0.0,0,0.0,-,0,
124,66,Gayndah Hospital,2022-12-01,5,18,0.0,1,18,100.0,0,0.0,0,0.0,-,0,
125,67,Gin Gin Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
126,67,Gin Gin Hospital,2022-12-01,2,3,1.0,0,2,67.0,0,0.0,0,0.0,-,0,
127,67,Gin Gin Hospital,2022-12-01,3,27,8.0,1,22,81.0,0,0.0,3,11.0,-,3,100.0
128,67,Gin Gin Hospital,2022-12-01,4,72,10.0,1,65,94.0,3,4.0,1,1.0,-,1,100.0
129,67,Gin Gin Hospital,2022-12-01,5,28,17.5,1,24,92.0,2,7.0,1,4.0,-,1,100.0
130,68,Gympie Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
131,68,Gympie Hospital,2022-12-01,2,173,7.0,1,126,73.0,0,0.0,53,31.0,-,30,57.0
132,68,Gympie Hospital,2022-12-01,3,770,21.0,1,487,66.0,30,4.0,98,13.0,-,48,49.0
133,68,Gympie Hospital,2022-12-01,4,680,24.0,2,505,81.0,48,7.0,17,3.0,-,4,24.0
134,68,Gympie Hospital,2022-12-01,5,48,23.0,2,34,92.0,2,4.0,0,0.0,-,0,
135,69,Hervey Bay Hospital,2022-12-01,1,7,0.0,0,7,100.0,0,0.0,4,57.0,-,1,25.0
136,69,Hervey Bay Hospital,2022-12-01,2,200,4.0,1,176,88.0,0,0.0,77,39.0,-,30,39.0
137,69,Hervey Bay Hospital,2022-12-01,3,791,28.0,2,391,53.0,52,7.0,142,18.0,-,40,28.0
138,69,Hervey Bay Hospital,2022-12-01,4,690,50.0,3,343,56.0,74,11.0,44,6.0,-,15,34.0
139,69,Hervey Bay Hospital,2022-12-01,5,52,39.5,3,30,79.0,10,19.0,1,2.0,-,1,100.0
140,70,Kingaroy Hospital,2022-12-01,1,3,0.0,0,3,100.0,0,0.0,1,33.0,-,0,0.0
141,70,Kingaroy Hospital,2022-12-01,2,71,8.0,1,45,63.0,0,0.0,16,23.0,-,7,44.0
142,70,Kingaroy Hospital,2022-12-01,3,328,26.0,2,176,56.0,11,3.0,38,12.0,-,19,50.0
143,70,Kingaroy Hospital,2022-12-01,4,383,40.0,3,224,65.0,33,9.0,8,2.0,-,5,63.0
144,70,Kingaroy Hospital,2022-12-01,5,87,48.0,3,55,90.0,13,15.0,0,0.0,-,0,
145,71,Maryborough Hospital,2022-12-01,1,3,0.0,0,3,100.0,0,0.0,0,0.0,-,0,
146,71,Maryborough Hospital,2022-12-01,2,110,5.0,1,88,81.0,1,1.0,1,1.0,-,0,0.0
147,71,Maryborough Hospital,2022-12-01,3,402,31.0,3,190,50.0,20,5.0,2,1.0,-,1,50.0
148,71,Maryborough Hospital,2022-12-01,4,449,53.0,3,195,54.0,74,16.0,1,0.0,-,0,0.0
149,71,Maryborough Hospital,2022-12-01,5,28,53.0,3,16,84.0,7,25.0,0,0.0,-,0,
150,72,Monto Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
151,72,Monto Hospital,2022-12-01,2,0,,0,0,,0,,0,,-,0,
152,72,Monto Hospital,2022-12-01,3,15,0.0,1,14,93.0,0,0.0,3,20.0,-,3,100.0
153,72,Monto Hospital,2022-12-01,4,47,0.0,1,46,100.0,0,0.0,4,9.0,-,4,100.0
154,72,Monto Hospital,2022-12-01,5,4,0.0,0,4,100.0,0,0.0,0,0.0,-,0,
155,74,Mundubbera Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
156,74,Mundubbera Hospital,2022-12-01,2,0,,0,0,,0,,0,,-,0,
157,74,Mundubbera Hospital,2022-12-01,3,9,0.0,0,9,100.0,0,0.0,2,22.0,-,2,100.0
158,74,Mundubbera Hospital,2022-12-01,4,20,0.0,1,20,100.0,0,0.0,2,10.0,-,2,100.0
159,74,Mundubbera Hospital,2022-12-01,5,4,0.0,0,4,100.0,0,0.0,0,0.0,-,0,
160,75,Murgon Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
161,75,Murgon Hospital,2022-12-01,2,5,0.0,0,5,100.0,0,0.0,2,40.0,-,2,100.0
162,75,Murgon Hospital,2022-12-01,3,37,5.0,1,36,97.0,0,0.0,3,8.0,-,3,100.0
163,75,Murgon Hospital,2022-12-01,4,120,10.0,1,101,92.0,9,8.0,2,2.0,-,2,100.0
164,75,Murgon Hospital,2022-12-01,5,19,5.0,1,12,100.0,2,11.0,0,0.0,-,0,
165,76,Nanango Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
166,76,Nanango Hospital,2022-12-01,2,7,0.0,0,7,100.0,0,0.0,0,0.0,-,0,
167,76,Nanango Hospital,2022-12-01,3,3,6.0,0,3,100.0,0,0.0,0,0.0,-,0,
168,76,Nanango Hospital,2022-12-01,4,53,5.0,1,53,100.0,0,0.0,0,0.0,-,0,
169,76,Nanango Hospital,2022-12-01,5,22,1.0,1,19,100.0,2,9.0,1,5.0,-,1,100.0
170,91,Chinchilla Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
171,91,Chinchilla Hospital,2022-12-01,2,5,1.0,0,5,100.0,0,0.0,2,40.0,-,2,100.0
172,91,Chinchilla Hospital,2022-12-01,3,80,1.0,1,77,96.0,0,0.0,20,25.0,-,18,90.0
173,91,Chinchilla Hospital,2022-12-01,4,245,1.0,1,230,97.0,4,2.0,4,2.0,-,4,100.0
174,91,Chinchilla Hospital,2022-12-01,5,136,1.0,1,116,98.0,3,2.0,2,1.0,-,2,100.0
175,92,Dalby Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
176,92,Dalby Hospital,2022-12-01,2,47,6.0,1,32,68.0,0,0.0,16,34.0,-,15,94.0
177,92,Dalby Hospital,2022-12-01,3,260,23.0,2,148,58.0,5,2.0,41,16.0,-,40,98.0
178,92,Dalby Hospital,2022-12-01,4,412,39.5,3,239,64.0,36,9.0,14,3.0,-,11,79.0
179,92,Dalby Hospital,2022-12-01,5,72,46.0,3,40,73.0,9,13.0,2,3.0,-,1,50.0
180,93,Goondiwindi Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
181,93,Goondiwindi Hospital,2022-12-01,2,12,0.0,1,12,100.0,0,0.0,5,42.0,-,2,40.0
182,93,Goondiwindi Hospital,2022-12-01,3,112,0.0,1,102,94.0,2,2.0,26,23.0,-,18,69.0
183,93,Goondiwindi Hospital,2022-12-01,4,242,1.0,1,213,96.0,10,4.0,11,5.0,-,9,82.0
184,93,Goondiwindi Hospital,2022-12-01,5,107,0.0,1,98,100.0,6,6.0,0,0.0,-,0,
185,95,Jandowae Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
186,95,Jandowae Hospital,2022-12-01,2,4,0.0,0,4,100.0,0,0.0,2,50.0,-,1,50.0
187,95,Jandowae Hospital,2022-12-01,3,16,0.0,1,16,100.0,0,0.0,2,13.0,-,2,100.0
188,95,Jandowae Hospital,2022-12-01,4,24,0.0,1,24,100.0,0,0.0,2,8.0,-,2,100.0
189,95,Jandowae Hospital,2022-12-01,5,19,0.0,1,19,100.0,0,0.0,1,5.0,-,1,100.0
190,97,Miles Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
191,97,Miles Hospital,2022-12-01,2,0,,0,0,,0,,0,,-,0,
192,97,Miles Hospital,2022-12-01,3,21,0.0,1,20,95.0,0,0.0,6,29.0,-,6,100.0
193,97,Miles Hospital,2022-12-01,4,48,7.5,1,47,98.0,0,0.0,4,8.0,-,4,100.0
194,97,Miles Hospital,2022-12-01,5,61,5.0,1,48,100.0,0,0.0,0,0.0,-,0,
195,98,Millmerran Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
196,98,Millmerran Hospital,2022-12-01,2,3,5.0,0,2,67.0,0,0.0,1,33.0,-,1,100.0
197,98,Millmerran Hospital,2022-12-01,3,16,3.0,1,14,88.0,0,0.0,0,0.0,-,0,
198,98,Millmerran Hospital,2022-12-01,4,55,3.0,1,52,98.0,0,0.0,1,2.0,-,0,0.0
199,98,Millmerran Hospital,2022-12-01,5,26,2.0,1,20,100.0,0,0.0,0,0.0,-,0,
200,99,Oakey Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
201,99,Oakey Hospital,2022-12-01,2,6,0.0,0,6,100.0,0,0.0,0,0.0,-,0,
202,99,Oakey Hospital,2022-12-01,3,39,2.5,1,36,95.0,1,3.0,1,3.0,-,0,0.0
203,99,Oakey Hospital,2022-12-01,4,114,3.0,1,108,97.0,2,2.0,0,0.0,-,0,
204,99,Oakey Hospital,2022-12-01,5,16,3.0,1,13,100.0,0,0.0,0,0.0,-,0,
205,100,Stanthorpe Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
206,100,Stanthorpe Hospital,2022-12-01,2,14,1.5,1,12,86.0,0,0.0,6,43.0,-,4,67.0
207,100,Stanthorpe Hospital,2022-12-01,3,122,4.0,1,110,92.0,3,2.0,18,15.0,-,15,83.0
208,100,Stanthorpe Hospital,2022-12-01,4,132,5.0,1,115,94.0,10,8.0,3,2.0,-,2,67.0
209,100,Stanthorpe Hospital,2022-12-01,5,54,2.0,1,45,100.0,0,0.0,1,2.0,-,1,100.0
210,101,Tara Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
211,101,Tara Hospital,2022-12-01,2,9,0.0,0,8,89.0,0,0.0,3,33.0,-,2,67.0
212,101,Tara Hospital,2022-12-01,3,43,0.0,1,42,98.0,0,0.0,3,7.0,-,3,100.0
213,101,Tara Hospital,2022-12-01,4,71,2.0,1,70,100.0,0,0.0,1,1.0,-,1,100.0
214,101,Tara Hospital,2022-12-01,5,29,5.0,1,21,100.0,0,0.0,0,0.0,-,0,
215,102,Taroom Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
216,102,Taroom Hospital,2022-12-01,2,2,0.0,0,2,100.0,0,0.0,1,50.0,-,1,100.0
217,102,Taroom Hospital,2022-12-01,3,17,0.0,1,17,100.0,0,0.0,4,24.0,-,4,100.0
218,102,Taroom Hospital,2022-12-01,4,21,0.0,1,21,100.0,0,0.0,0,0.0,-,0,
219,102,Taroom Hospital,2022-12-01,5,37,0.0,1,31,100.0,0,0.0,0,0.0,-,0,
220,103,Texas Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
221,103,Texas Hospital,2022-12-01,2,0,,0,0,,0,,0,,-,0,
222,103,Texas Hospital,2022-12-01,3,9,8.0,0,8,100.0,0,0.0,0,0.0,-,0,
223,103,Texas Hospital,2022-12-01,4,21,10.0,1,21,100.0,0,0.0,0,0.0,-,0,
224,103,Texas Hospital,2022-12-01,5,26,0.0,1,19,95.0,0,0.0,0,0.0,-,0,
225,104,Toowoomba Hospital,2022-12-01,1,18,0.0,1,18,100.0,0,0.0,10,56.0,-,4,40.0
226,104,Toowoomba Hospital,2022-12-01,2,494,7.0,1,350,72.0,5,1.0,249,50.0,-,107,43.0
227,104,Toowoomba Hospital,2022-12-01,3,1827,28.0,2,901,53.0,115,6.0,298,16.0,-,91,31.0
228,104,Toowoomba Hospital,2022-12-01,4,688,33.0,3,452,70.0,35,5.0,36,5.0,-,14,39.0
229,104,Toowoomba Hospital,2022-12-01,5,30,29.0,2,23,88.0,2,7.0,0,0.0,-,0,
230,105,Warwick Hospital,2022-12-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
231,105,Warwick Hospital,2022-12-01,2,71,13.0,1,31,44.0,0,0.0,22,31.0,-,13,59.0
232,105,Warwick Hospital,2022-12-01,3,327,29.0,2,162,52.0,15,5.0,25,8.0,-,21,84.0
233,105,Warwick Hospital,2022-12-01,4,449,41.0,3,265,65.0,40,9.0,8,2.0,-,3,38.0
234,105,Warwick Hospital,2022-12-01,5,81,18.0,1,61,97.0,6,7.0,0,0.0,-,0,
235,106,Wandoan Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
236,106,Wandoan Hospital,2022-12-01,2,0,,0,0,,0,,0,,-,0,
237,106,Wandoan Hospital,2022-12-01,3,0,,0,0,,0,,0,,-,0,
238,106,Wandoan Hospital,2022-12-01,4,0,,0,0,,0,,0,,-,0,
239,106,Wandoan Hospital,2022-12-01,5,21,0.0,1,14,100.0,0,0.0,0,0.0,-,0,
240,112,Charleville Hospital,2022-12-01,1,6,0.0,0,6,100.0,0,0.0,5,83.0,-,3,60.0
241,112,Charleville Hospital,2022-12-01,2,6,0.0,0,6,100.0,0,0.0,1,17.0,-,1,100.0
242,112,Charleville Hospital,2022-12-01,3,57,0.0,1,57,100.0,0,0.0,10,18.0,-,8,80.0
243,112,Charleville Hospital,2022-12-01,4,124,0.0,1,115,100.0,4,3.0,6,5.0,-,5,83.0
244,112,Charleville Hospital,2022-12-01,5,48,0.0,1,45,100.0,2,4.0,2,4.0,-,2,100.0
245,113,Cunnamulla Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
246,113,Cunnamulla Hospital,2022-12-01,2,4,0.0,0,4,100.0,0,0.0,3,75.0,-,3,100.0
247,113,Cunnamulla Hospital,2022-12-01,3,26,0.0,1,26,100.0,0,0.0,3,12.0,-,2,67.0
248,113,Cunnamulla Hospital,2022-12-01,4,56,0.0,1,55,100.0,1,2.0,0,0.0,-,0,
249,113,Cunnamulla Hospital,2022-12-01,5,30,0.0,1,28,100.0,1,3.0,0,0.0,-,0,
250,114,Dirranbandi Hospital,2022-12-01,1,0,,0,0,,0,,0,,-,0,
251,114,Dirranbandi Hospital,2022-12-01,2,1,0.0,0,1,100.0,0,0.0,1,100.0,-,0,0.0
